# x   y   V_numerica   V_analitica   |error|
   1.000000E+00   1.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   1.020000E+00   1.000000E+00   2.019868E-02   2.019868E-02   0.000000E+00
   1.040000E+00   1.000000E+00   4.078954E-02   4.078954E-02   0.000000E+00
   1.060000E+00   1.000000E+00   6.176504E-02   6.176504E-02   0.000000E+00
   1.080000E+00   1.000000E+00   8.311792E-02   8.311792E-02   0.000000E+00
   1.100000E+00   1.000000E+00   1.048412E-01   1.048412E-01   0.000000E+00
   1.120000E+00   1.000000E+00   1.269281E-01   1.269281E-01   0.000000E+00
   1.140000E+00   1.000000E+00   1.493722E-01   1.493722E-01   0.000000E+00
   1.160000E+00   1.000000E+00   1.721672E-01   1.721672E-01   0.000000E+00
   1.180000E+00   1.000000E+00   1.953070E-01   1.953070E-01   0.000000E+00
   1.200000E+00   1.000000E+00   2.187859E-01   2.187859E-01   0.000000E+00
   1.220000E+00   1.000000E+00   2.425980E-01   2.425980E-01   0.000000E+00
   1.240000E+00   1.000000E+00   2.667381E-01   2.667381E-01   0.000000E+00
   1.260000E+00   1.000000E+00   2.912008E-01   2.912008E-01   0.000000E+00
   1.280000E+00   1.000000E+00   3.159809E-01   3.159809E-01   0.000000E+00
   1.300000E+00   1.000000E+00   3.410735E-01   3.410735E-01   0.000000E+00
   1.320000E+00   1.000000E+00   3.664739E-01   3.664739E-01   0.000000E+00
   1.340000E+00   1.000000E+00   3.921773E-01   3.921773E-01   0.000000E+00
   1.360000E+00   1.000000E+00   4.181792E-01   4.181792E-01   0.000000E+00
   1.380000E+00   1.000000E+00   4.444752E-01   4.444752E-01   0.000000E+00
   1.400000E+00   1.000000E+00   4.710611E-01   4.710611E-01   0.000000E+00
   1.420000E+00   1.000000E+00   4.979328E-01   4.979328E-01   0.000000E+00
   1.440000E+00   1.000000E+00   5.250861E-01   5.250861E-01   0.000000E+00
   1.460000E+00   1.000000E+00   5.525172E-01   5.525172E-01   0.000000E+00
   1.480000E+00   1.000000E+00   5.802223E-01   5.802223E-01   0.000000E+00
   1.500000E+00   1.000000E+00   6.081977E-01   6.081977E-01   0.000000E+00
   1.520000E+00   1.000000E+00   6.364397E-01   6.364397E-01   0.000000E+00
   1.540000E+00   1.000000E+00   6.649449E-01   6.649449E-01   0.000000E+00
   1.560000E+00   1.000000E+00   6.937099E-01   6.937099E-01   0.000000E+00
   1.580000E+00   1.000000E+00   7.227313E-01   7.227313E-01   0.000000E+00
   1.600000E+00   1.000000E+00   7.520058E-01   7.520058E-01   0.000000E+00
   1.620000E+00   1.000000E+00   7.815304E-01   7.815304E-01   0.000000E+00
   1.640000E+00   1.000000E+00   8.113018E-01   8.113018E-01   0.000000E+00
   1.660000E+00   1.000000E+00   8.413172E-01   8.413172E-01   0.000000E+00
   1.680000E+00   1.000000E+00   8.715736E-01   8.715736E-01   0.000000E+00
   1.700000E+00   1.000000E+00   9.020680E-01   9.020680E-01   0.000000E+00
   1.720000E+00   1.000000E+00   9.327978E-01   9.327978E-01   0.000000E+00
   1.740000E+00   1.000000E+00   9.637601E-01   9.637601E-01   0.000000E+00
   1.760000E+00   1.000000E+00   9.949523E-01   9.949523E-01   0.000000E+00
   1.780000E+00   1.000000E+00   1.026372E+00   1.026372E+00   0.000000E+00
   1.800000E+00   1.000000E+00   1.058016E+00   1.058016E+00   0.000000E+00
   1.820000E+00   1.000000E+00   1.089882E+00   1.089882E+00   0.000000E+00
   1.840000E+00   1.000000E+00   1.121969E+00   1.121969E+00   0.000000E+00
   1.860000E+00   1.000000E+00   1.154272E+00   1.154272E+00   0.000000E+00
   1.880000E+00   1.000000E+00   1.186791E+00   1.186791E+00   0.000000E+00
   1.900000E+00   1.000000E+00   1.219522E+00   1.219522E+00   0.000000E+00
   1.920000E+00   1.000000E+00   1.252464E+00   1.252464E+00   0.000000E+00
   1.940000E+00   1.000000E+00   1.285615E+00   1.285615E+00   0.000000E+00
   1.960000E+00   1.000000E+00   1.318971E+00   1.318971E+00   0.000000E+00
   1.980000E+00   1.000000E+00   1.352532E+00   1.352532E+00   0.000000E+00
   2.000000E+00   1.000000E+00   1.386294E+00   1.386294E+00   0.000000E+00

   1.000000E+00   1.020000E+00   2.019868E-02   2.019868E-02   0.000000E+00
   1.020000E+00   1.020000E+00   4.120341E-02   4.120531E-02   1.896915E-06
   1.040000E+00   1.020000E+00   6.260815E-02   6.261196E-02   3.811586E-06
   1.060000E+00   1.020000E+00   8.440522E-02   8.441094E-02   5.725635E-06
   1.080000E+00   1.020000E+00   1.065872E-01   1.065949E-01   7.626271E-06
   1.100000E+00   1.020000E+00   1.291471E-01   1.291566E-01   9.503149E-06
   1.120000E+00   1.020000E+00   1.520779E-01   1.520892E-01   1.134696E-05
   1.140000E+00   1.020000E+00   1.753730E-01   1.753862E-01   1.314926E-05
   1.160000E+00   1.020000E+00   1.990261E-01   1.990410E-01   1.490192E-05
   1.180000E+00   1.020000E+00   2.230310E-01   2.230476E-01   1.659745E-05
   1.200000E+00   1.020000E+00   2.473818E-01   2.474000E-01   1.822847E-05
   1.220000E+00   1.020000E+00   2.720726E-01   2.720924E-01   1.978827E-05
   1.240000E+00   1.020000E+00   2.970980E-01   2.971192E-01   2.127017E-05
   1.260000E+00   1.020000E+00   3.224525E-01   3.224751E-01   2.266820E-05
   1.280000E+00   1.020000E+00   3.481309E-01   3.481548E-01   2.397640E-05
   1.300000E+00   1.020000E+00   3.741281E-01   3.741533E-01   2.518962E-05
   1.320000E+00   1.020000E+00   4.004393E-01   4.004656E-01   2.630266E-05
   1.340000E+00   1.020000E+00   4.270597E-01   4.270871E-01   2.731122E-05
   1.360000E+00   1.020000E+00   4.539848E-01   4.540130E-01   2.821095E-05
   1.380000E+00   1.020000E+00   4.812099E-01   4.812389E-01   2.899845E-05
   1.400000E+00   1.020000E+00   5.087308E-01   5.087605E-01   2.967026E-05
   1.420000E+00   1.020000E+00   5.365433E-01   5.365735E-01   3.022393E-05
   1.440000E+00   1.020000E+00   5.646432E-01   5.646739E-01   3.065695E-05
   1.460000E+00   1.020000E+00   5.930266E-01   5.930576E-01   3.096784E-05
   1.480000E+00   1.020000E+00   6.216896E-01   6.217208E-01   3.115506E-05
   1.500000E+00   1.020000E+00   6.506284E-01   6.506596E-01   3.121813E-05
   1.520000E+00   1.020000E+00   6.798393E-01   6.798705E-01   3.115653E-05
   1.540000E+00   1.020000E+00   7.093188E-01   7.093498E-01   3.097077E-05
   1.560000E+00   1.020000E+00   7.390634E-01   7.390940E-01   3.066133E-05
   1.580000E+00   1.020000E+00   7.690696E-01   7.690998E-01   3.022973E-05
   1.600000E+00   1.020000E+00   7.993341E-01   7.993638E-01   2.967744E-05
   1.620000E+00   1.020000E+00   8.298538E-01   8.298828E-01   2.900695E-05
   1.640000E+00   1.020000E+00   8.606255E-01   8.606537E-01   2.822073E-05
   1.660000E+00   1.020000E+00   8.916461E-01   8.916734E-01   2.732219E-05
   1.680000E+00   1.020000E+00   9.229125E-01   9.229388E-01   2.631475E-05
   1.700000E+00   1.020000E+00   9.544219E-01   9.544471E-01   2.520272E-05
   1.720000E+00   1.020000E+00   9.861715E-01   9.861955E-01   2.399040E-05
   1.740000E+00   1.020000E+00   1.018158E+00   1.018181E+00   2.268296E-05
   1.760000E+00   1.020000E+00   1.050380E+00   1.050401E+00   2.128553E-05
   1.780000E+00   1.020000E+00   1.082833E+00   1.082853E+00   1.980405E-05
   1.800000E+00   1.020000E+00   1.115516E+00   1.115534E+00   1.824445E-05
   1.820000E+00   1.020000E+00   1.148425E+00   1.148442E+00   1.661339E-05
   1.840000E+00   1.020000E+00   1.181559E+00   1.181574E+00   1.491756E-05
   1.860000E+00   1.020000E+00   1.214914E+00   1.214927E+00   1.316428E-05
   1.880000E+00   1.020000E+00   1.248489E+00   1.248500E+00   1.136101E-05
   1.900000E+00   1.020000E+00   1.282281E+00   1.282290E+00   9.515851E-06
   1.920000E+00   1.020000E+00   1.316287E+00   1.316295E+00   7.637190E-06
   1.940000E+00   1.020000E+00   1.350507E+00   1.350512E+00   5.734316E-06
   1.960000E+00   1.020000E+00   1.384936E+00   1.384940E+00   3.817584E-06
   1.980000E+00   1.020000E+00   1.419574E+00   1.419576E+00   1.899890E-06
   2.000000E+00   1.020000E+00   1.454418E+00   1.454418E+00   0.000000E+00

   1.000000E+00   1.040000E+00   4.078954E-02   4.078954E-02   0.000000E+00
   1.020000E+00   1.040000E+00   6.260815E-02   6.261196E-02   3.811586E-06
   1.040000E+00   1.040000E+00   8.483460E-02   8.484225E-02   7.642729E-06
   1.060000E+00   1.040000E+00   1.074611E-01   1.074726E-01   1.146714E-05
   1.080000E+00   1.040000E+00   1.304801E-01   1.304953E-01   1.526276E-05
   1.100000E+00   1.040000E+00   1.538843E-01   1.539033E-01   1.900990E-05
   1.120000E+00   1.040000E+00   1.776668E-01   1.776895E-01   2.269074E-05
   1.140000E+00   1.040000E+00   2.018209E-01   2.018472E-01   2.628831E-05
   1.160000E+00   1.040000E+00   2.263400E-01   2.263698E-01   2.978690E-05
   1.180000E+00   1.040000E+00   2.512178E-01   2.512510E-01   3.317113E-05
   1.200000E+00   1.040000E+00   2.764483E-01   2.764848E-01   3.642687E-05
   1.220000E+00   1.040000E+00   3.020257E-01   3.020652E-01   3.954011E-05
   1.240000E+00   1.040000E+00   3.279442E-01   3.279867E-01   4.249821E-05
