# x   y   V_numerica   V_analitica   |error|
   1.520000E+00   4.000000E-02   2.231290E+00   2.190400E+00   4.089007E-02
   1.540000E+00   4.000000E-02   2.290815E+00   2.250000E+00   4.081504E-02
   1.560000E+00   4.000000E-02   2.351089E+00   2.310400E+00   4.068867E-02
   1.580000E+00   4.000000E-02   2.412109E+00   2.371600E+00   4.050891E-02
   1.600000E+00   4.000000E-02   2.473873E+00   2.433600E+00   4.027286E-02
   1.620000E+00   4.000000E-02   2.536377E+00   2.496400E+00   3.997670E-02
   1.640000E+00   4.000000E-02   2.599616E+00   2.560000E+00   3.961561E-02
   1.660000E+00   4.000000E-02   2.663584E+00   2.624400E+00   3.918368E-02
   1.680000E+00   4.000000E-02   2.728274E+00   2.689600E+00   3.867380E-02
   1.700000E+00   4.000000E-02   2.793677E+00   2.755600E+00   3.807748E-02
   1.720000E+00   4.000000E-02   2.859785E+00   2.822400E+00   3.738470E-02
   1.740000E+00   4.000000E-02   2.926584E+00   2.890000E+00   3.658360E-02
   1.760000E+00   4.000000E-02   2.994060E+00   2.958400E+00   3.566020E-02
   1.780000E+00   4.000000E-02   3.062198E+00   3.027600E+00   3.459796E-02
   1.800000E+00   4.000000E-02   3.130977E+00   3.097600E+00   3.337718E-02
   1.820000E+00   4.000000E-02   3.200374E+00   3.168400E+00   3.197421E-02
   1.840000E+00   4.000000E-02   3.270360E+00   3.240000E+00   3.036027E-02
   1.860000E+00   4.000000E-02   3.340900E+00   3.312400E+00   2.849968E-02
   1.880000E+00   4.000000E-02   3.411947E+00   3.385600E+00   2.634707E-02
   1.900000E+00   4.000000E-02   3.483443E+00   3.459600E+00   2.384277E-02
   1.920000E+00   4.000000E-02   3.555304E+00   3.534400E+00   2.090421E-02
   1.940000E+00   4.000000E-02   3.627409E+00   3.610000E+00   1.740866E-02
   1.960000E+00   4.000000E-02   3.699552E+00   3.686400E+00   1.315200E-02
   1.980000E+00   4.000000E-02   3.771325E+00   3.763600E+00   7.724876E-03
   2.000000E+00   4.000000E-02   3.841600E+00   3.841600E+00   0.000000E+00

   1.000000E+00   8.000000E-02   8.464000E-01   8.464000E-01   0.000000E+00
   1.020000E+00   8.000000E-02   8.978242E-01   8.836000E-01   1.422424E-02
   1.040000E+00   8.000000E-02   9.463967E-01   9.216000E-01   2.479672E-02
   1.060000E+00   8.000000E-02   9.936077E-01   9.604000E-01   3.320774E-02
   1.080000E+00   8.000000E-02   1.040148E+00   1.000000E+00   4.014785E-02
   1.100000E+00   8.000000E-02   1.086394E+00   1.040400E+00   4.599434E-02
   1.120000E+00   8.000000E-02   1.132582E+00   1.081600E+00   5.098235E-02
   1.140000E+00   8.000000E-02   1.178873E+00   1.123600E+00   5.527267E-02
   1.160000E+00   8.000000E-02   1.225383E+00   1.166400E+00   5.898255E-02
   1.180000E+00   8.000000E-02   1.272202E+00   1.210000E+00   6.220155E-02
   1.200000E+00   8.000000E-02   1.319400E+00   1.254400E+00   6.500031E-02
   1.220000E+00   8.000000E-02   1.367036E+00   1.299600E+00   6.743597E-02
   1.240000E+00   8.000000E-02   1.415156E+00   1.345600E+00   6.955554E-02
   1.260000E+00   8.000000E-02   1.463798E+00   1.392400E+00   7.139821E-02
   1.280000E+00   8.000000E-02   1.512997E+00   1.440000E+00   7.299691E-02
   1.300000E+00   8.000000E-02   1.562780E+00   1.488400E+00   7.437952E-02
   1.320000E+00   8.000000E-02   1.613170E+00   1.537600E+00   7.556963E-02
   1.340000E+00   8.000000E-02   1.664187E+00   1.587600E+00   7.658726E-02
   1.360000E+00   8.000000E-02   1.715849E+00   1.638400E+00   7.744932E-02
   1.380000E+00   8.000000E-02   1.768170E+00   1.690000E+00   7.817000E-02
   1.400000E+00   8.000000E-02   1.821161E+00   1.742400E+00   7.876109E-02
   1.420000E+00   8.000000E-02   1.874832E+00   1.795600E+00   7.923220E-02
   1.440000E+00   8.000000E-02   1.929191E+00   1.849600E+00   7.959096E-02
   1.460000E+00   8.000000E-02   1.984243E+00   1.904400E+00   7.984316E-02
   1.480000E+00   8.000000E-02   2.039993E+00   1.960000E+00   7.999287E-02
   1.500000E+00   8.000000E-02   2.096442E+00   2.016400E+00   8.004249E-02
   1.520000E+00   8.000000E-02   2.153593E+00   2.073600E+00   7.999283E-02
   1.540000E+00   8.000000E-02   2.211443E+00   2.131600E+00   7.984308E-02
   1.560000E+00   8.000000E-02   2.269991E+00   2.190400E+00   7.959084E-02
   1.580000E+00   8.000000E-02   2.329232E+00   2.250000E+00   7.923205E-02
   1.600000E+00   8.000000E-02   2.389161E+00   2.310400E+00   7.876091E-02
   1.620000E+00   8.000000E-02   2.449770E+00   2.371600E+00   7.816978E-02
   1.640000E+00   8.000000E-02   2.511049E+00   2.433600E+00   7.744907E-02
   1.660000E+00   8.000000E-02   2.572987E+00   2.496400E+00   7.658699E-02
   1.680000E+00   8.000000E-02   2.635569E+00   2.560000E+00   7.556933E-02
   1.700000E+00   8.000000E-02   2.698779E+00   2.624400E+00   7.437921E-02
   1.720000E+00   8.000000E-02   2.762597E+00   2.689600E+00   7.299660E-02
   1.740000E+00   8.000000E-02   2.826998E+00   2.755600E+00   7.139789E-02
   1.760000E+00   8.000000E-02   2.891955E+00   2.822400E+00   6.955522E-02
   1.780000E+00   8.000000E-02   2.957436E+00   2.890000E+00   6.743565E-02
   1.800000E+00   8.000000E-02   3.023400E+00   2.958400E+00   6.500000E-02
   1.820000E+00   8.000000E-02   3.089801E+00   3.027600E+00   6.220125E-02
   1.840000E+00   8.000000E-02   3.156582E+00   3.097600E+00   5.898228E-02
   1.860000E+00   8.000000E-02   3.223672E+00   3.168400E+00   5.527242E-02
   1.880000E+00   8.000000E-02   3.290982E+00   3.240000E+00   5.098213E-02
   1.900000E+00   8.000000E-02   3.358394E+00   3.312400E+00   4.599415E-02
